N,means,stds
1,1.0,0.0
2,2.64,1.5717506163510802
3,4.21,2.804621186541954
4,6.06,3.2025614748198046
5,7.91,5.502899235857404
6,9.97,6.220056269841938
7,11.84,5.6581268985416004
8,13.63,7.620570844759596
9,16.12,8.185694839169123
10,18.87,8.664473440434797
11,20.32,9.447624039937237
12,23.46,12.428531691233681
13,28.75,15.24229313456476
14,29.01,16.093163144640027
15,31.88,17.08290373443578
16,34.62,17.48529668035404
17,32.12,16.33846994060337
18,36.89,20.24840487544636
19,40.81,23.566372228240816
20,43.21,18.862817923099403
21,43.54,20.971609380302695
22,48.66,27.48316575651357
23,51.71,29.7779431794743
24,51.85,25.65750377569884
25,56.2,26.342361321643132
26,54.51,21.611337302443825
27,60.65,32.09871492754811
28,64.41,31.3783667516332
29,64.46,30.845557216558753
30,68.78,32.421468196243055
31,68.97,32.69784549477228
32,71.2,30.898220013457088
33,69.14,34.06523741294048
34,76.99,34.1966357994467
35,82.67,33.48314650686222
36,85.88,38.134047778855056
37,81.31,36.36775907311309
38,83.99,38.139086250197444
39,92.69,50.51370012184813
40,100.01,48.23307889820015
41,97.07,47.10971343576609
42,100.47,43.302760881957624
43,95.39,36.40107003921725
44,93.54,39.18607405699122
45,101.21,39.295621893539234
46,119.81,59.471454497094655
47,116.78,56.665259198207146
48,107.57,50.64133785752505
49,115.86,53.29071588935544
50,122.8,50.83876473715702
51,123.98,61.05390732786886
52,128.09,52.305467209461
53,123.85,58.59767486854747
54,125.3,53.42461979275098
55,131.88,56.00862076502152
56,132.5,64.56942000668738
57,132.08,56.32187496878988
58,133.6,57.08064470553921
59,135.17,60.09110666313277
60,143.13,64.59545727061617
61,144.04,61.26612767263817
62,147.56,58.85631996650827
63,148.32,67.95805765323198
64,147.76,54.78505635663798
65,153.4,68.2775219233973
66,156.0,65.19309779416837
67,166.91,81.47761594450344
68,148.97,66.80635523660904
69,162.81,73.02146191360457
70,187.28,87.51629334015468
71,170.02,69.15200358630254
72,169.92,71.60302786893861
73,167.23,66.14043468257523
74,174.71,70.94297639653978
75,186.43,74.92372855110722
76,183.01,74.75807581793421
77,183.27,68.9727272188073
78,187.48,83.25785008033778
79,198.9,94.49481467255228
80,212.92,98.97683365313318
81,193.28,76.96168917065167
82,206.91,96.82831145899426
83,210.71,105.23082200572226
84,203.87,81.79641251301918
85,205.41,77.20350963524909
86,215.14,83.16465835918525
87,215.45,89.22178825825002
88,223.19,85.02207889718999
89,235.48,106.8199868938393
90,219.94,91.05732480146777
91,237.1,96.87987407093384
92,216.06,89.03300736243834
93,230.04,95.10887655734348
94,241.36,98.46111110484179
95,234.46,81.86628365817029
96,226.85,97.99707903810194
97,266.01,125.82467921675779
98,231.02,92.3818142276931
99,265.07,122.62677154683638
